,avgSpeed,sdSpeed,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,condition
0,0.0300000011921,0.0948683335748,0.0934753417969,-0.814987182617,0.52522277832,0.00646429091395,0.0260747439169,0.019175825113,0.0398803710937,-0.928285217285,0.335264587402,-0.0182165012251,1.21972777926e-05,0.000453190122699,0.0259017176027,0.0473772065894,0.110633914946,0.0244729440574,0.017208606262,0.00728939086727,0.0
1,1.68200002313,1.72841480806,0.142395019531,-0.827163696289,0.606582641602,0.0472162482305,0.10073832929,0.0380477835456,0.0598205566406,-0.881864929199,0.549020385742,-0.0205822404847,0.0186420743673,-0.00324423620832,0.0580295166073,0.0292803704166,0.053010771152,0.0357833408961,0.0554149422811,0.0285591616879,0.0
2,6.42199993134,1.48828604819,0.0814514160156,-0.859069824219,0.463928222656,0.0341361325365,0.0090792487883,0.0762644115044,-0.0138549804688,-0.907255554199,0.397149658203,-0.027790698502,-0.06352914854,0.0426345991543,0.0572040404324,0.0329341562969,0.0409592028473,0.0391249178183,0.0438743134964,0.0441028725785,0.0
3,11.4399997711,1.02377309547,0.0863952636719,-0.852035522461,0.395584106445,0.0784969394462,0.0781901432886,0.0362099360774,0.0220184326172,-0.934564208984,0.338539123535,-0.0199803128151,0.00852989191864,-0.0215508588048,0.056835563949,0.0452653875418,0.0416057274218,0.0633582225443,0.0598447444106,0.0513124188914,0.0
4,13.7950000763,0.5112345265,0.0954132080078,-0.927017211914,0.315765380859,0.0767312636435,0.0747061959506,0.0818325487115,0.0216903686523,-0.958570861816,0.245706176758,-0.00472503366924,-0.0103941579449,-0.00279370924671,0.0582778265,0.0265403674928,0.0433786933886,0.0572538965404,0.0414975690227,0.0445392514578,0.0
5,14.9709999084,0.37966200182,0.271575927734,-0.66357421875,0.341171264648,0.108997857095,0.035253861246,0.101830491653,0.0311935424805,-0.909841918945,0.290197753906,-0.00882608869508,-0.0463187096799,0.0126104938673,0.146951807896,0.110500175421,0.0438370414031,0.0700466686311,0.0705215950137,0.0578130783844,0.0
6,16.1190002441,0.449652892871,0.11457824707,-0.853393554688,0.307739257812,0.240332977833,0.106938168308,0.139080924768,0.0324096679687,-0.972442626953,0.266569519043,0.01601896722,-0.0199930427251,0.0168485418996,0.072627313368,0.0873830334118,0.0307311544089,0.09438592225,0.0981694326351,0.067512881545,0.0
7,17.2599998474,0.284018384742,0.0998229980469,-0.918029785156,0.318222045898,0.0509982032945,0.20962699678,0.0957371790789,-0.00497283935547,-0.977014160156,0.220101928711,-0.0301625630321,0.00359822358042,-0.0117265907015,0.0622312993699,0.0489147875277,0.0577275200406,0.0640541564658,0.0951134545987,0.0526989624879,0.0
8,17.2960002899,0.253034793758,0.24104309082,-0.824798583984,0.273635864258,0.160994745798,0.293261972917,0.165193751889,-0.0541748046875,-0.95406036377,0.165213012695,-0.010221878054,0.0560117904678,-0.0393792575642,0.144531947212,0.0738103720101,0.0740067343346,0.0888354561268,0.144022812623,0.107696477646,0.0
9,16.6269994736,0.191023644094,0.0614318847656,-0.908462524414,0.250183105469,0.0683811883616,0.0611776039291,0.0288963630918,-0.0107528686523,-0.987202453613,0.191374206543,-0.0209072526641,0.00151688329369,-0.0121595674315,0.0508559113452,0.0422474528909,0.0279941646095,0.0413461661255,0.0293748319694,0.0259805460175,0.0
