,meanSpeed,sdSpeed,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,minAccelX,minAccelY,minAccelZ,minGyroX,minGyroY,minGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,condition
0,2.10880001545,1.13336639544,0.33561706543,-0.922241210938,0.315994262695,0.0171526216329,0.762202829251,0.00512019351179,0.031005859375,-1.08134460449,0.0054931640625,-0.0999012977594,0.00119655827777,-0.246975966856,0.188162231445,-0.968228149414,0.174879760742,-0.0368586927716,0.502764003526,-0.119256918204,0.0803478998655,0.0351486898832,0.108995015441,0.0299765646004,0.248999871955,0.0621346529421,0.0
1,6.02400007248,2.92319743904,0.290481567383,-0.869338989258,0.447692871094,0.0169864403809,0.712654450854,0.0930868011621,-0.172668457031,-1.01683044434,0.0337677001953,-0.137416449087,-0.161612599171,-0.176684226728,0.0452032470703,-0.944087524414,0.302868041992,-0.0315696654993,0.114912972234,-0.0239058868304,0.107099123369,0.0400671270626,0.109580607506,0.0385554423643,0.250796196393,0.0646017193037,0.0
2,11.7507999039,0.53653160427,0.162506103516,-0.870300292969,0.30842590332,0.0599538814082,0.124735008608,0.0694198211868,-0.0594024658203,-1.07020568848,0.149353027344,-0.101673098833,-0.114945494757,-0.0716323754204,0.0408880615234,-0.964915771484,0.2203515625,-0.0132545420927,-0.00918864079323,0.00479259273977,0.057668144597,0.0442055301768,0.0408550749171,0.0424313446551,0.0602445204514,0.0361778290384,0.0
3,12.7408000565,0.0295690716253,0.106063842773,-0.787216186523,0.251312255859,0.0750207152753,0.101503721787,0.0765501686893,-0.169281005859,-1.10545349121,0.130966186523,-0.0877162705078,-0.134335438022,-0.0628271659083,-0.00117797851562,-0.973364257813,0.199305419922,-0.00519016007994,-0.00549763800676,-0.000380139613998,0.0654458955835,0.0659940016196,0.0313401173056,0.0536650673021,0.0644164586387,0.039852958643,0.0
4,12.6075999451,0.175672101139,0.173431396484,-0.804443359375,0.2744140625,0.0870874981745,0.125848742576,0.113725500662,-0.220245361328,-1.07717895508,0.0587768554688,-0.158543838647,-0.227247003184,-0.0788330303758,0.0365673828125,-0.965999755859,0.173214111328,-0.0261136154161,0.00489073555227,-0.0127333614674,0.0771712894939,0.0669663811269,0.048330615444,0.0516212353155,0.0841733542204,0.04847882555,0.0
5,11.4579999542,0.653528880938,0.123260498047,-0.754989624023,0.327590942383,0.0746630527409,0.0968652941167,0.0512530678108,-0.0647735595703,-1.08648681641,-0.00601196289062,-0.129896747433,-0.084997449351,-0.0542970609368,0.0372021484375,-0.963648681641,0.137232666016,-0.0153697737674,-0.000878811201793,-0.00105071292384,0.0509245892328,0.070400992907,0.0664460409384,0.048801935481,0.0495008251134,0.0320548874514,0.0
6,6.9323998642,1.81417632485,0.0843048095703,-0.935287475586,0.122482299805,0.0639638030615,0.0521103393657,0.033125729219,-0.0491180419922,-1.04925537109,-0.00192260742188,-0.0610412500813,-0.0423144339281,-0.037442713346,0.0221636962891,-0.99069152832,0.0743585205078,-0.0101646573748,-0.0043159721258,0.00267922527777,0.0392035706426,0.0284005675917,0.0334564309197,0.0257108477875,0.025587566069,0.0191171572269,0.0
7,1.07119998038,1.12558618695,0.0349426269531,-0.949676513672,0.248825073242,0.0171022878883,0.00975728960183,0.032967004818,0.00552368164062,-1.02630615234,0.0386352539062,-0.0471065259935,-0.029698240896,-0.0213348498087,0.0195239257812,-0.979991455078,0.148573608398,-0.0151228561238,-0.00892173878879,0.00140353915769,0.00859826684505,0.0223068855734,0.0755737910381,0.010988305217,0.00970316733834,0.0101777792435,0.0
8,3.58439999104,2.68392287021,0.105667114258,-0.741546630859,0.500610351562,0.152413241817,0.0811782100317,0.202541923016,-0.239349365234,-1.04627990723,0.197021484375,-0.13818690159,-0.248445765461,-0.0856946649244,0.00734497070312,-0.923363037109,0.386860961914,-0.00460080253071,-0.0171152308512,0.0124077953504,0.0681518844166,0.0668845981627,0.068252952325,0.0610732955252,0.0637711019436,0.0545816758151,0.0
9,9.345599823,0.455330336008,0.162490844727,-0.887420654297,0.315460205078,0.121639350157,0.0946016071901,0.099062402016,-0.112152099609,-1.11701965332,0.0429229736328,-0.0802170751943,-0.162126322945,-0.0951358373048,0.00913452148437,-0.975406494141,0.159916992187,-0.00207462379446,-0.0276432712304,-0.000461685606576,0.0669166807703,0.0551138563567,0.0720777045291,0.0533443867708,0.0747779003242,0.0509528802989,0.0
10,6.87280000687,1.47091384091,0.278564453125,-0.698120117188,0.445678710938,0.125229557623,0.0434156510388,0.0796647355842,-0.0445709228516,-1.0908203125,-0.0349578857422,-0.171673755453,-0.161893030034,-0.13611442963,0.0671185302734,-0.965156860352,0.148327636719,-0.015220977631,-0.0150910579804,-0.00101251254116,0.0723762087261,0.0720088531603,0.123949544995,0.0535540735782,0.0460006020792,0.040688060593,0.0
11,7.31760002136,1.65038959836,0.159317016602,-0.855682373047,0.432144165039,0.0591549330812,0.116016884464,0.0437868956948,-0.125930786133,-1.10461425781,0.168746948242,-0.073754382177,-0.161611533906,-0.0809776740016,0.006083984375,-0.944877319336,0.291463012695,-0.0166467062469,-0.00810443595553,-0.00505410450617,0.0619634797547,0.0608392413287,0.0652601849276,0.0295016572365,0.0602874526627,0.0389911472822,0.0
12,9.99799995422,0.324512474118,0.162948608398,-0.85969543457,0.317932128906,0.0710339631235,0.132353779855,0.0541931976542,-0.0344848632812,-1.03886413574,0.136688232422,-0.089668633903,-0.108196511923,-0.0817712960064,0.0600408935547,-0.960034790039,0.234490966797,-0.0256915043834,0.0348424880788,-0.0116548238364,0.0580998039757,0.0434392291835,0.0366411832172,0.0447689283298,0.0564803736735,0.0342433648073,0.0
13,10.8924001694,0.426783319188,0.130981445312,-0.856460571289,0.283355712891,0.0952093405509,0.138410340806,0.0618569763232,-0.122207641602,-1.05752563477,0.158233642578,-0.190850645831,-0.0851764137762,-0.0752108649771,0.0170367431641,-0.963720703125,0.224434814453,-0.0227707090894,0.00333785697328,-0.00885675765819,0.0593949257898,0.045528340323,0.0244543748394,0.0605796739336,0.0504277114633,0.0366274362342,0.0
14,11.6088001251,0.115985653336,0.158020019531,-0.906661987305,0.233734130859,0.110381901913,0.0994416361552,0.0801883130545,-0.112442016602,-1.29168701172,0.13427734375,-0.0929997157944,-0.103903496246,-0.104569286518,0.0335638427734,-0.983963623047,0.192300415039,-0.0115215912134,-0.0139230807474,0.00320190792596,0.05863266088,0.0759023609778,0.0243106647273,0.0482608223629,0.0503021152284,0.0383209508752,0.0
