,avgSpeed,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,condition
0,0.885999986529,0.0413208007812,-0.941680908203,0.300186157227,-0.00547146445957,0.0097948401732,0.0253490325198,0.011459183413,0.0208468729095,0.0678003179217,0.0094417501838,0.0106070316755,0.00795318489472,0.0
1,0.619999992847,0.0215911865234,-0.907867431641,0.433364868164,0.000715857701013,-0.00737722253563,0.0866781703149,0.053823726024,0.0148678263838,0.0299074659965,0.0197248072067,0.0669064003928,0.030302472233,0.0
2,3.62599999905,-0.117889404297,-0.869781494141,0.382720947266,0.0344336076303,-0.301834155834,0.126247684107,0.0468464939377,0.0469798302509,0.0422851625638,0.0368836173505,0.0748262545198,0.0178765741211,0.0
3,6.19600009918,0.0742492675781,-0.900665283203,0.384414672852,0.0137557596625,0.0244683251473,0.0511257687107,0.0650666571685,0.0247703035256,0.0343871302046,0.0326844454995,0.132558594013,0.0311571475461,0.0
4,8.55500020981,0.0775299072266,-0.922500610352,0.239028930664,0.0293642804953,0.0670059319747,0.033770746835,0.0238460123605,0.0275599743064,0.0434955029268,0.0367769352776,0.0354622849874,0.0211808140821,0.0
5,8.70499982834,0.11408996582,-0.938293457031,0.226379394531,0.0257786004036,0.0459938572901,0.0702970664498,0.0553222258441,0.0229591560042,0.0281376264701,0.0270159034669,0.049920049606,0.0277522461431,0.0
6,8.16400003433,0.0706024169922,-0.956756591797,0.199066162109,0.0245162620469,0.010747186579,0.024281903871,0.0424981856458,0.0167069540674,0.0512168021748,0.0267504531262,0.0424244742094,0.0160711809755,0.0
7,6.43599982262,0.0664825439453,-0.965042114258,0.102691650391,0.0178567614251,0.0275346888264,0.0161845625766,0.0235334351875,0.0200133663729,0.0461518056973,0.028937010866,0.019404505264,0.0205026569257,0.0
8,3.54899995327,0.0768280029297,-0.95378112793,0.139221191406,0.0345609067304,0.040618799262,0.0321366311901,0.0309391472145,0.0166494608054,0.046132522381,0.0271712961864,0.035962222825,0.0252386574966,0.0
9,1.50599998236,0.0638732910156,-0.960037231445,0.150375366211,0.0168040138462,0.0310154403712,0.0129861061074,0.0180673644811,0.0136134330016,0.00819028996301,0.0147420762942,0.0154531127189,0.0108085047579,0.0
10,0.274999991059,0.0278015136719,-0.963943481445,0.208724975586,-0.0107391970957,0.000165648619803,0.00310497951492,0.00412615544309,0.00689264572484,0.0219200132964,0.0046718524051,0.00242847362885,0.00224155053469,0.0
11,0.0930000036955,0.0393829345703,-0.951156616211,0.254272460938,-0.012931244989,-0.000932639013746,0.00416518394488,0.00599744844441,0.0064249258944,0.0236015708055,0.00298251987301,0.00474611771834,0.00235345358166,0.0
12,0.582000011206,0.0479278564453,-0.949478149414,0.25439453125,-0.00313560586746,0.0022913838019,0.0266555793506,0.0148596777149,0.00685704488318,0.0125764166889,0.00858758429824,0.0122363598672,0.0106340770578,0.0
13,1.43599998951,0.0397796630859,-0.923843383789,0.307540893555,0.011802597319,0.0394589926073,0.0240707151966,0.0195157695059,0.0150988628404,0.0250017277817,0.0173709804342,0.0220516347978,0.0158445119989,0.0
14,2.89500007629,0.0477600097656,-0.91911315918,0.38623046875,0.0359244452085,0.086265380346,0.0279528051176,0.0284297355162,0.0160241494746,0.0375623735618,0.0276620964623,0.0381807491271,0.0202131461617,0.0
