interval, latitude, longitude, classification
0,37.4110436439863,-122.152183530966,0.0
1,37.4107817095121,-122.152399197335,0.0
2,37.4105167575529,-122.152620144302,0.0
3,37.410251428408,-122.152844360212,0.0
4,37.4099800642928,-122.153064636627,0.0
5,37.4097103346488,-122.153287092338,0.0
6,37.4094387190765,-122.153504938001,0.0
7,37.409173264203,-122.153724543864,0.0
8,37.4089107849052,-122.153944904098,0.0
9,37.4086423963657,-122.154167695085,0.0
10,37.408373756369,-122.15439056989,0.0
11,37.4081157194799,-122.154605146611,0.0
12,37.4078725185594,-122.154806144649,0.0
13,37.4076677067554,-122.154976967836,0.0
14,37.407484478352,-122.155130524302,0.0
15,37.4073147029033,-122.155269915352,0.0
16,37.407172420097,-122.1553938837,0.0
17,37.4070563726476,-122.155490946138,0.0
18,37.4069583043804,-122.155571663866,0.0
19,37.4068393232649,-122.155667888114,0.0
20,37.4066920951357,-122.155790682996,0.0
21,37.4065324617898,-122.155921692142,0.0
22,37.4063703557825,-122.15605085727,0.0
23,37.4061918212449,-122.156197456757,0.0
24,37.4059942597872,-122.156352773423,0.0
25,37.4057688704109,-122.156512029583,0.0
26,37.4055172456777,-122.156665669868,0.0
27,37.4052456720149,-122.156806318203,0.0
28,37.4046642193919,-122.157026259342,0.0
29,37.4049587594694,-122.156924251581,0.0
30,37.4037562497308,-122.157234465817,0.0
31,37.4040699843666,-122.157185431684,0.0
32,37.4034486338845,-122.157256342584,0.0
33,37.4031383777386,-122.157252738366,0.0
34,37.40284480158,-122.157241087521,0.0
35,37.4025459867319,-122.157208398098,0.0
36,37.4022579007199,-122.157152909899,0.0
37,37.4019722454598,-122.157084010655,0.0
38,37.4011012399917,-122.15683255356,0.0
39,37.4008087534806,-122.156746052319,0.0
40,37.4002220202586,-122.156568020696,0.0
41,37.4005135428509,-122.156655443946,0.0
42,37.4016816029673,-122.157000610719,0.0
43,37.4013925530365,-122.156916875506,0.0
44,37.3999310005805,-122.156504737327,0.0
45,37.3996342392987,-122.156474813933,0.0
46,37.3993392801261,-122.156487051511,0.0
47,37.399051026476,-122.15656592522,0.0
48,37.3987750942236,-122.156682349855,0.0
49,37.3985249363234,-122.156841270739,0.0
50,37.398296529462,-122.157034725065,0.0
51,37.3981039971462,-122.157257851327,0.0
52,37.3979283124557,-122.157503944004,0.0
53,37.3977795755839,-122.157781049723,0.0
54,37.3976275278604,-122.158053880671,0.0
55,37.3974749353131,-122.158319922278,0.0
56,37.3973182356333,-122.158592753226,0.0
57,37.3971553333452,-122.158882934714,0.0
58,37.3969865218153,-122.15919407096,0.0
59,37.3968140641576,-122.15951601986,0.0
60,37.3966300394734,-122.159838639314,0.0
61,37.3964357469579,-122.160171652327,0.0
62,37.3961918754851,-122.160467282051,0.0
63,37.3959305696538,-122.160743381942,0.0
64,37.3956114286905,-122.160973716641,0.0
65,37.395244091784,-122.161137750486,0.0
66,37.394859571976,-122.161268340537,0.0
67,37.3941705376258,-122.161576710755,0.0
68,37.3938849661847,-122.16180310596,0.0
69,37.3944942048168,-122.161398511494,0.0
70,37.3936416814452,-122.162059173102,0.0
71,37.3934397613978,-122.162304595227,0.0
72,37.3932576645514,-122.162504335979,0.0
73,37.3931026831618,-122.162626711765,0.0
74,37.3929411638876,-122.162731401736,0.0
75,37.3927605338743,-122.162827542165,0.0
76,37.3925750423571,-122.162904571856,0.0
77,37.392389718478,-122.162962742264,0.0
78,37.3922200268483,-122.162994928772,0.0
79,37.3920804262509,-122.163033234069,0.0
80,37.3919441784149,-122.163074389214,0.0
81,37.3917960282763,-122.163104564065,0.0
82,37.3916449025622,-122.163138091678,0.0
83,37.3914934415718,-122.163170278186,0.0
