interval, latitude, longitude, classification
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.4298167601576,-122.151720346997,1.0
2,37.429818524527,-122.151681434699,1.0
2,37.429818524527,-122.151681434699,1.0
2,37.429818524527,-122.151681434699,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4298030539161,-122.151663494714,1.0
2,37.4297866238551,-122.151644442134,1.0
2,37.4297866238551,-122.151644442134,1.0
2,37.4297866238551,-122.151644442134,1.0
2,37.4297866238551,-122.151644442134,1.0
2,37.4297721898823,-122.151627704253,1.0
2,37.4297721898823,-122.151627704253,1.0
2,37.4297721898823,-122.151627704253,1.0
2,37.4297721898823,-122.151627704253,1.0
2,37.4297721898823,-122.151627704253,1.0
5,37.4297668136293,-122.151621469858,0.0
5,37.4297668136293,-122.151621469858,0.0
5,37.4297668136293,-122.151621469858,0.0
5,37.4297668136293,-122.151621469858,0.0
5,37.4297668136293,-122.151621469858,0.0
5,37.4297671029447,-122.151621805353,0.0
5,37.4297671029447,-122.151621805353,0.0
5,37.4297671029447,-122.151621805353,0.0
5,37.4297671029447,-122.151621805353,0.0
5,37.4297671029447,-122.151621805353,0.0
5,37.4297671033176,-122.151621805785,0.0
5,37.4297671033176,-122.151621805785,0.0
5,37.4297671033176,-122.151621805785,0.0
5,37.4297671033176,-122.151621805785,0.0
5,37.4297671033176,-122.151621805785,0.0
5,37.4297671036775,-122.151621806203,0.0
5,37.4297671036775,-122.151621806203,0.0
5,37.4297671036775,-122.151621806203,0.0
5,37.4297671036775,-122.151621806203,0.0
5,37.4297671036775,-122.151621806203,0.0
5,37.4297671040331,-122.151621806615,0.0
5,37.4297671040331,-122.151621806615,0.0
5,37.4297671040331,-122.151621806615,0.0
5,37.4297671040331,-122.151621806615,0.0
5,37.4297671040331,-122.151621806615,0.0
7,37.4297663255878,-122.151620903916,0.0
7,37.4297663255878,-122.151620903916,0.0
7,37.4297663255878,-122.151620903916,0.0
7,37.4297663255878,-122.151620903916,0.0
7,37.4297663255878,-122.151620903916,0.0
7,37.4297662590256,-122.15162082673,0.0
7,37.4297662590256,-122.15162082673,0.0
7,37.4297662590256,-122.15162082673,0.0
7,37.4297662590256,-122.15162082673,0.0
7,37.4297662590256,-122.15162082673,0.0
7,37.4297662593467,-122.151620827102,0.0
7,37.4297662593467,-122.151620827102,0.0
7,37.4297662593467,-122.151620827102,0.0
7,37.4297662593467,-122.151620827102,0.0
7,37.4297662593467,-122.151620827102,0.0
7,37.4297660967969,-122.151620638607,0.0
7,37.4297660967969,-122.151620638607,0.0
7,37.4297660967969,-122.151620638607,0.0
7,37.4297660967969,-122.151620638607,0.0
7,37.4297660967969,-122.151620638607,0.0
7,37.4297660970868,-122.151620638943,0.0
7,37.4297660970868,-122.151620638943,0.0
7,37.4297660970868,-122.151620638943,0.0
7,37.4297660970868,-122.151620638943,0.0
7,37.4297660970868,-122.151620638943,0.0
10,37.4297663392884,-122.151620919804,0.0
10,37.4297663392884,-122.151620919804,0.0
10,37.4297663392884,-122.151620919804,0.0
10,37.4297663392884,-122.151620919804,0.0
10,37.4297663392884,-122.151620919804,0.0
10,37.4297485552618,-122.151600297142,0.0
10,37.4297485552618,-122.151600297142,0.0
10,37.4297485552618,-122.151600297142,0.0
10,37.4297485552618,-122.151600297142,0.0
10,37.4297485552618,-122.151600297142,0.0
10,37.4297485552618,-122.151600297142,0.0
