timestamp,latitude,longitude,speed,accelerometerX,accelerometerY,accelerometerZ
1,40.4289119644467,-79.9823497329652,5.15000009536743,0.0846099853515625,-0.875274658203125,0.201309204101562
2,40.4289154429365,-79.9824479688704,6.19000005722046,0.139694213867188,-0.572967529296875,0.1607666015625
3,40.4288995173205,-79.9825363141298,6.51000022888184,0.07183837890625,-1.05821228027344,0.301239013671875
4,40.4288989305873,-79.9826159422099,6.19000005722046,-0.036468505859375,-1.04563903808594,0.286026000976562
5,40.4288994335015,-79.9827155192196,7.51999998092651,0.0571746826171875,-1.09922790527344,0.407791137695312
6,40.4288996011395,-79.9828043673932,7.51999998092651,-0.2293701171875,-0.67510986328125,0.258255004882812
7,40.4288966255639,-79.9829388131201,8.40999984741211,-0.073516845703125,-0.9049072265625,0.256790161132812
8,40.4289013613392,-79.9830481131375,8.97000026702881,0.189178466796875,-0.900436401367188,0.209091186523438
9,40.4289003136013,-79.9831673038006,8.65999984741211,-0.139175415039062,-0.827529907226562,0.270950317382812
10,40.428895661645,-79.9832763523608,8.97000026702881,0.0503997802734375,-0.972793579101562,0.21551513671875
11,40.4288699292023,-79.9834270589799,9.44999980926514,-0.630874633789062,-0.720748901367188,-0.22509765625
12,40.428867791817,-79.983538454473,9.44999980926514,0.008453369140625,-0.919403076171875,0.17608642578125
13,40.4288697615642,-79.9836894963682,9.73999977111816,0.060791015625,-0.929000854492188,0.231658935546875
14,40.428869007193,-79.9837961141765,9.73999977111816,0.014739990234375,-0.826400756835938,0.2259521484375
15,40.4288757127155,-79.9839275424182,9.43000030517578,0.29547119140625,-1.02693176269531,0.158660888671875
16,40.4288702644784,-79.9840384349972,9.42000007629395,0.006072998046875,-1.04310607910156,0.062286376953125
17,40.4288646486033,-79.9841494113952,9.10999965667725,0.134048461914062,-0.845962524414062,0.24493408203125
18,40.4288701806594,-79.9842661713064,9.23999977111816,-0.029205322265625,-0.971664428710938,0.31060791015625
19,40.4288701806594,-79.9843750522286,9.23999977111816,-0.115081787109375,-0.92523193359375,0.0438232421875
20,40.428879736029,-79.9844937399775,9.26000022888184,0.14501953125,-1.04228210449219,0.198028564453125
21,40.4288785206531,-79.9846028723568,9.26000022888184,0.26483154296875,-1.26097106933594,0.121353149414062
22,40.4288509861011,-79.9846947380155,9.64000034332275,-0.133712768554688,-0.90972900390625,0.36798095703125
