,avgSpeed,sdSpeed,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,pothole
183,4.30999994278,0.0,0.298522949219,-0.867782592773,0.487396240234,0.0298942495522,0.410886874047,0.0449903781914,0.12093963623,-0.928125,0.406802368164,-0.0398321547392,0.12949365137,-0.0455229837778,0.120495847726,0.0484554016281,0.0595003738916,0.0397897614862,0.127736730931,0.065660674392,False
184,4.95199995041,1.35345485464,0.229095458984,-0.897491455078,0.313873291016,0.118634771815,0.125737688759,0.139487855783,0.0488616943359,-0.979597473145,0.146839904785,0.0190662626658,-0.0268220269187,0.00836765214503,0.112053471732,0.0920274522273,0.105650727398,0.0578309829394,0.0747738713467,0.0760362259627,False
185,5.4679997921,0.720999372866,0.128387451172,-0.903930664062,0.192642211914,0.0112481271801,0.0227713589007,0.0832464209342,0.0411361694336,-0.990550231934,0.0896377563477,-0.0203899868856,-0.0381590237844,0.0138571195736,0.0561122951651,0.0470182264141,0.0519993050816,0.0243631861988,0.0371732915932,0.0403112517648,False
186,5.23999977112,9.36222258287e-16,0.097900390625,-0.93489074707,0.285278320312,-0.0035537221586,-0.00734180249313,0.0267250878551,0.0675582885742,-0.953225708008,0.219895935059,-0.0145811531791,-0.0205419468574,-0.00404126705936,0.0438308173551,0.0259311718048,0.0682901059686,0.00810447244264,0.015821165045,0.0186307545277,False
187,5.23999977112,9.36222258287e-16,0.0889129638672,-0.926330566406,0.305191040039,-0.0117080551003,8.94822126267e-05,0.00305837419585,0.0848587036133,-0.933503723145,0.288360595703,-0.013866946638,-0.00427115112466,-0.000664059217811,0.00264314498282,0.00539042361316,0.012763768035,0.00160887229551,0.00302427599222,0.00175361768157,False
188,5.23999977112,9.36222258287e-16,0.0862579345703,-0.839416503906,0.62060546875,0.0104435862147,-0.00421258821229,0.100430734184,0.0503234863281,-0.891300964355,0.435371398926,-0.0114481838411,-0.0747009228916,0.0252382183869,0.0463230354,0.037889435599,0.121935416869,0.018603180034,0.0909180229253,0.0339899065085,False
189,5.23999977112,9.36222258287e-16,0.0348663330078,-0.833984375,0.554306030273,0.052115932004,-0.345536363006,0.244186039298,-0.178793334961,-0.919137573242,0.40513458252,-0.00644277257234,-0.454779976606,0.151657090489,0.132709438098,0.0527399320186,0.0719904013369,0.0291316555963,0.0913329441003,0.0540114467524,False
190,5.23999977112,9.36222258287e-16,0.231063842773,-0.821548461914,0.543807983398,0.0530991710784,0.0052299157487,0.131113013103,-0.011555480957,-0.882830810547,0.472309875488,-0.0104269414579,-0.242878294044,0.045407642271,0.153737941044,0.0413293895626,0.0499680873455,0.0385129839878,0.194416706423,0.0642063938867,False
191,4.04599983692,2.18047997237,0.158004760742,-0.79866027832,0.489974975586,0.0141006390236,0.121251327586,0.0396850949838,0.107940673828,-0.886727905273,0.398124694824,-0.0214360499302,0.0466171967748,-0.0421353629764,0.0379974949528,0.0596596959233,0.0608880742982,0.0342030402449,0.0522281219833,0.0468840916014,False
192,3.21000003815,4.68111129144e-16,0.125457763672,-0.904708862305,0.376205444336,0.0472146503338,0.117267238596,0.0688059625555,0.0436126708984,-0.927444458008,0.323278808594,-0.0136073150633,-0.019059125394,-0.00435498743577,0.051716695104,0.0179676558903,0.0387547791347,0.0357451627109,0.0745414465487,0.0519082490554,False
193,3.21000003815,4.68111129144e-16,0.162643432617,-0.856292724609,0.333419799805,0.0518421590439,0.0273133801399,0.0710805684425,0.0645935058594,-0.94449005127,0.265983581543,-0.0115567609188,-0.0206685002724,-0.00720861780702,0.0631857747817,0.0614695887114,0.0339421809715,0.0439163333062,0.0406348197171,0.0482389221055,False
194,-0.578999996185,1.33131890699,0.0965881347656,-0.937698364258,0.294158935547,0.0534405883302,0.0765962413762,0.103082976314,0.0524826049805,-0.975643920898,0.202810668945,0.0043511524838,0.00412073578629,0.00333917790118,0.0328189206921,0.0359101824261,0.0482733572181,0.0330987209215,0.0448904551224,0.0512350994856,False
195,-1.0,0.0,0.204223632812,-0.818649291992,0.2822265625,0.0966130927615,0.120754914359,0.122147481293,0.0485244750977,-0.960832214355,0.183827209473,-0.0220329708569,0.00237596579813,-0.00726872535282,0.0891329915932,0.0811754908419,0.0496717900208,0.0620785465813,0.0696365067165,0.0647023824462,False
196,-1.0,0.0,0.156051635742,-0.86344909668,0.243606567383,0.0968932573081,0.0971028480859,0.140205311381,0.0651321411133,-0.964131164551,0.163261413574,-0.000840706692916,-0.022970510087,0.00218309967198,0.0872632204157,0.0627016248567,0.0398240085506,0.0593007150908,0.0957849889458,0.066713827914,False
197,-1.0,0.0,0.172134399414,-0.924026489258,0.173034667969,-0.000438888947645,0.128036263096,0.0457307369744,0.0845916748047,-0.963204956055,0.128407287598,-0.0485665241663,0.0108440191163,-0.0169449216995,0.0584284750876,0.0359561320739,0.024087045651,0.0326187222879,0.0567794663895,0.0488854409628,False
198,-1.0,0.0,0.116302490234,-0.914398193359,0.126831054688,0.0248105413474,0.0607991687382,0.0643574182706,0.0542083740234,-1.00912780762,0.0993759155273,-0.0232664938106,-6.20516533988e-05,-0.00407642078575,0.0377831693316,0.04500174494,0.0241865300639,0.0447690002074,0.0467554781299,0.0430125872299,False
199,-1.0,0.0,0.143997192383,-0.967086791992,0.100112915039,-0.00117525298905,0.0926329985123,0.0362442908554,0.0502746582031,-0.997125244141,0.0723434448242,-0.0171607176426,0.00766239382515,-0.0102178833124,0.0377248850357,0.0210767021676,0.0239961377389,0.0139195006788,0.0332944813191,0.0344853459132,False
200,0.471999979019,0.775812108237,0.0741882324219,-0.950759887695,0.228698730469,0.00213345834926,0.0139776009813,0.0222139592846,0.051628112793,-0.982397460937,0.132926940918,-0.0124728084389,-0.00236547294343,-0.000334839243856,0.0136291943705,0.0208878699885,0.0558715707936,0.00936554993428,0.0127130691102,0.0101987447593,False
201,0.839999973774,1.17027782286e-16,0.0700836181641,-0.936004638672,0.285049438477,-0.00743048575743,0.00115261611979,0.0051470914388,0.0601974487305,-0.945965576172,0.251542663574,-0.0134214796825,-0.00225303428221,-0.000984570655002,0.00673117458678,0.00649025816136,0.0219502292785,0.00364628931624,0.00233444447959,0.00323874488069,False
