,avgSpeed,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,pothole
65,13.7519997597,0.157287597656,-0.730255126953,0.339736938477,0.386791657769,0.205310278969,0.322838773668,0.0842193626339,0.112488258783,0.109239983292,0.182818534698,0.13277791269,0.126888402942,True
66,13.0990001678,0.176620483398,-0.799072265625,0.238403320312,0.131364948142,0.243606535444,0.0496269416492,0.0813595072961,0.0982274509152,0.0502637034465,0.069348507434,0.119099753971,0.0608509498233,False
67,12.1889997482,0.185455322266,-0.65087890625,0.241439819336,0.0691950503908,0.255109260825,0.0555796393177,0.130677573003,0.164613156684,0.079486829599,0.0440656880425,0.110944229187,0.0559983474358,False
68,9.57799983025,0.411849975586,-0.756042480469,0.168731689453,0.108285195187,0.315653565047,0.14463095248,0.109539673464,0.120895285746,0.096373790491,0.0639206366866,0.157271668073,0.0992756224919,False
69,6.93100004196,0.572113037109,-0.83869934082,0.262344360352,0.0338626258926,0.57574293711,0.0180405195403,0.135981158638,0.0664841436027,0.044227365496,0.0556268212663,0.0888852992556,0.0700997819146,False
70,6.64200000763,0.384475708008,-0.824661254883,0.416305541992,0.122984246508,0.450019629421,0.064197095973,0.142075125752,0.0578548200607,0.0894815564754,0.0868835471574,0.176189254824,0.0843109220598,False
71,8.07200021744,0.208770751953,-0.845657348633,0.404479980469,0.10377246872,0.149977248368,0.0792133297794,0.0852202569393,0.049417255698,0.053597110876,0.0493416508674,0.0843459643257,0.0714119320543,False
72,10.0720003128,0.133392333984,-0.827178955078,0.418426513672,0.0787997408621,0.192000066157,-0.0126798425821,0.062440273768,0.0557373909809,0.0492405601943,0.0654647828573,0.107914795522,0.0351778654834,False
73,11.7749997139,0.552108764648,-0.735366821289,0.5048828125,0.664053092541,0.200884371554,0.518890573107,0.344010062639,0.127034333015,0.0902955121175,0.229106539912,0.296764367067,0.245979836205,True
74,13.4120000839,0.313598632812,-0.698532104492,0.245483398438,0.159059160318,0.191066894511,0.203881226728,0.131571267085,0.10084804015,0.0481089480957,0.108947933644,0.156608605315,0.133864095058,False
75,13.6869999886,0.670349121094,-0.731918334961,0.624664306641,0.686620453302,0.690257532403,0.1733624659,0.366496717099,0.107054657208,0.0947587328398,0.25650791538,0.291971252976,0.242621737266,True
76,15.4270003319,0.864776611328,-0.592529296875,0.46858215332,0.328928357816,0.386001231557,0.547641527603,0.431286042812,0.188302333746,0.161994464752,0.181488191176,0.298425689618,0.292517909052,True
77,16.798000145,0.578216552734,-0.469085693359,0.685028076172,0.272357489941,0.792849155495,0.253707372827,0.30480300203,0.361255067984,0.231575811189,0.255592453395,0.286340801804,0.182486871013,True
78,15.1100003242,0.174224853516,-0.938858032227,0.118270874023,0.1890745837,0.0537247476185,0.221126792683,0.134559983,0.110420497811,0.0662914828068,0.0849346060395,0.0985365618386,0.0880066292491,True
79,9.11699995995,0.189056396484,-0.869079589844,0.481079101562,0.140495063307,0.0426784880491,0.166669942081,0.115184324392,0.0919803768162,0.24410743899,0.0575762276523,0.0853455676354,0.0862217744674,False
80,7.39799976349,0.482467651367,-0.685363769531,0.745391845703,0.166725868464,0.631806739114,0.332467432589,0.274042444117,0.134904106105,0.106584968551,0.106666831244,0.287268726573,0.276936001835,True
81,12.129999733,0.460388183594,-0.745208740234,0.643341064453,0.084240046337,0.286558530138,0.161095146971,0.185920496612,0.15123741645,0.080598044509,0.0668283216506,0.119984438557,0.0980706215888,False
82,16.0609994888,0.831527709961,-0.503280639648,0.58854675293,0.183107771277,0.475984384785,0.233827940554,0.42604777744,0.215608498471,0.201625964942,0.174988547723,0.270347691707,0.198633496721,True
83,17.5939998627,0.227554321289,-0.763961791992,0.397750854492,0.215721374619,0.198163153552,0.167408436651,0.171064696834,0.107486778506,0.0751115964765,0.086346417473,0.148790229845,0.138954060057,False
84,18.5830003738,0.143157958984,-0.644226074219,0.364288330078,0.16955627607,0.426499922254,0.304523149587,0.17259540621,0.122458518028,0.0528155275408,0.10174011746,0.245610492735,0.180481850058,False
85,19.076999855,0.319458007812,-0.87956237793,0.319427490234,0.122826054739,0.187988812923,0.142950764148,0.138986876765,0.14840037334,0.0536128705566,0.0805609327738,0.0790709934131,0.109557868611,False
86,18.8600006104,0.296981811523,-0.862579345703,0.348785400391,0.0563407707573,0.12710442303,0.180784695858,0.100662491001,0.0693486214209,0.120194076563,0.0623996472811,0.13341361522,0.0981784859244,False
87,18.054999733,0.402267456055,-0.753494262695,0.517913818359,0.375671362321,0.233602637126,0.180467247056,0.141685801776,0.134429085284,0.0914275125963,0.15388294192,0.13406670678,0.126264604536,False
88,18.1620006561,0.606979370117,-0.79280090332,0.361175537109,0.111645039218,0.636966081094,0.36265676039,0.375924034774,0.132209023882,0.117135419852,0.126057124499,0.345049538762,0.269539998418,True
89,17.5580003738,0.345718383789,-0.603302001953,0.179794311523,0.154453489529,0.288121805697,0.350145495905,0.131889307822,0.184069255112,0.165383717046,0.106800869983,0.236206244097,0.26669890276,True
90,14.7330001831,0.439453125,-0.869430541992,-0.0190582275391,0.284902043939,0.349148142077,0.310192486915,0.236504885484,0.120190029803,0.0661517568781,0.157859720045,0.15806936808,0.153248880469,True
91,7.92299983501,0.0677032470703,-0.966339111328,0.13916015625,0.194718620998,0.0235575240545,0.200883572605,0.0870200655658,0.0679421092407,0.12444844769,0.0812606075094,0.102094668035,0.0941577667426,False
92,1.0679999575,0.0513305664062,-0.939849853516,0.27604675293,-0.00534629588833,6.7644291688e-05,0.00200349608807,0.00763992075095,0.00546071606275,0.0194917799237,0.00318078052621,0.00305318877202,0.00298435012052,False
93,0.370999991894,0.0435028076172,-0.944198608398,0.263107299805,-0.0128087395788,-0.00308740265173,0.000926513743239,0.00156275710666,0.00126916786438,0.00142551992364,0.00125054608619,0.000899633984354,0.00072358242231,False
94,0.567999999225,0.0426025390625,-0.943557739258,0.262054443359,-0.0128020816761,-0.00415027024278,0.00197899500604,0.00208999987739,0.00205927771563,0.00158997916234,0.00125514081836,0.000607371736634,0.00132930276623,False
95,0.0920000016689,0.0423431396484,-0.938446044922,0.263534545898,-0.011744007775,-0.00203785086613,0.00200349608807,0.00170671296929,0.00358489004328,0.00262224163283,0.00162538015151,0.00136853107031,0.00160848640327,False
