,timestamp,latitude,longitude,speed,accelerometerX,accelerometerY,accelerometerZ,gyroX,gyroY,gyroZ,potholes
0,1492637561.6,40.443843083,-79.9510207242,0.0,0.0448913574219,-0.959564208984,0.224243164062,-0.00863370193793,-0.0095168061554,0.00313480691913,False
1,1492637561.8,40.443843083,-79.9510207242,0.0,0.0468139648438,-0.956756591797,0.224044799805,-0.0128620028006,-0.00736204251742,0.00201974137072,False
2,1492637562.0,40.443843083,-79.9510207242,0.0,0.0556335449219,-0.953323364258,0.219924926758,-0.0117373498723,-0.00524243260582,-0.00117285614407,False
3,1492637562.2,40.4438426536,-79.9510223501,0.0,0.0492858886719,-0.948928833008,0.223480224609,-0.0160415508261,-0.00734153617702,0.000920921104949,False
4,1492637562.4,40.4438426536,-79.9510223501,0.0,0.062744140625,-0.950576782227,0.234375,-0.0107405286763,-0.00843955749446,0.00204424245274,False
5,1492637562.6,40.4438426536,-79.9510223501,0.0,0.0614471435547,-0.948226928711,0.240005493164,-0.0171049510494,-0.00520701256332,0.00197073920666,False
6,1492637562.8,40.4438426536,-79.9510223501,0.0,0.0499725341797,-0.950836181641,0.260223388672,-0.0138441766107,-0.00416518394488,-0.00226342061046,False
7,1492637563.0,40.4438426536,-79.9510223501,0.0,0.0686340332031,-0.931411743164,0.33869934082,-7.05737688871e-05,-0.00744539945953,0.00108470551199,False
8,1492637563.2,40.4438433953,-79.951019542,0.0,0.0643615722656,-0.915405273438,0.381622314453,0.000103863282513,0.0021257351821,-0.00640170662833,False
9,1492637563.4,40.4438433953,-79.951019542,0.0,0.0725860595703,-0.908752441406,0.429534912109,-0.0168972244843,0.0107463876307,-0.00446558851584,False
10,1492637563.6,40.4438433953,-79.951019542,0.0,0.0629577636719,-0.903350830078,0.41960144043,-0.00330338501613,-0.0106153601051,0.00212600149821,False
11,1492637563.8,40.4438433953,-79.951019542,0.0,0.0555419921875,-0.895370483398,0.471557617188,0.0560132019432,0.038989210991,-0.0251162722405,False
12,1492637564.0,40.4438433953,-79.951019542,0.0,0.0523834228516,-0.910232543945,0.516067504883,-0.0194541254469,-0.0402949588734,-0.00116140455138,False
13,1492637564.2,40.4438466757,-79.9510071215,1.47000002861,0.0732116699219,-0.887619018555,0.442291259766,-0.0142037033578,-0.0286263185573,0.0105905927069,False
14,1492637564.4,40.4438466757,-79.9510071215,1.47000002861,0.0433654785156,-0.863403320312,0.494644165039,-0.0842008978689,-0.0611400533577,0.0494077634915,False
15,1492637564.6,40.4438466757,-79.9510071215,1.47000002861,0.0891723632812,-0.92170715332,0.458923339844,0.0320378279137,0.0359601315671,0.0130297819493,False
16,1492637564.8,40.4438466757,-79.9510071215,1.47000002861,0.0417785644531,-0.936233520508,0.483993530273,-0.048595499359,0.025843048902,-0.0144250120444,False
17,1492637565.0,40.4438466757,-79.9510071215,1.47000002861,0.0376586914062,-0.927963256836,0.331344604492,-0.0598473549646,-0.0155653776232,0.00689092932058,False
18,1492637565.2,40.4438560868,-79.9509714888,4.13000011444,0.108917236328,-0.887573242188,0.316253662109,-0.0305256850467,0.0118963405894,-0.0195350855441,False
19,1492637565.4,40.4438560868,-79.9509714888,4.13000011444,0.0616455078125,-0.914398193359,0.34504699707,-0.0175270620821,-0.000944090606433,0.0350080514774,False
20,1492637565.6,40.4438560868,-79.9509714888,4.13000011444,0.0545959472656,-0.906097412109,0.247116088867,-0.00951467562653,0.00325251863931,-0.00330445028057,False
21,1492637565.8,40.4438560868,-79.9509714888,4.13000011444,0.06103515625,-0.904251098633,0.331298828125,-0.0175052241612,0.00329832501006,-0.0417700838012,False
22,1492637566.0,40.4438560868,-79.9509714888,4.13000011444,0.0923004150391,-0.910003662109,0.310501098633,-0.0579908653687,-0.100679207114,-0.0195257644802,False
23,1492637566.2,40.443869941,-79.9509190337,5.26000022888,0.123657226562,-0.908309936523,0.313858032227,0.089057971065,-0.0335529002578,0.0105943211324,False
24,1492637566.4,40.443869941,-79.9509190337,5.26000022888,0.0829925537109,-0.927398681641,0.306060791016,0.00371750656564,0.052096490928,-0.00969230847123,False
25,1492637566.6,40.443869941,-79.9509190337,5.26000022888,0.0462188720703,-0.970672607422,0.43180847168,0.00165329040472,0.0510453412458,-0.0150418001529,False
26,1492637566.8,40.443869941,-79.9509190337,5.26000022888,0.104476928711,-0.884689331055,0.331893920898,-0.12448919884,0.0933477909489,-0.0345680972653,False
27,1492637567.0,40.443869941,-79.9509190337,5.26000022888,0.035888671875,-1.01179504395,0.311019897461,0.0336112234857,0.0295610880999,-0.0274537287293,False
28,1492637567.2,40.4438879328,-79.9508509126,6.42999982834,0.0100860595703,-0.926696777344,0.288757324219,0.0148929294479,0.00203092664729,0.00227966589311,False
29,1492637567.4,40.4438879328,-79.9508509126,6.42999982834,0.0211334228516,-0.9013671875,0.284912109375,0.0249929678821,-0.0650485085735,0.00575482479955,False
30,1492637567.6,40.4438879328,-79.9508509126,6.42999982834,0.0924072265625,-0.979064941406,0.21891784668,-0.069166288251,-0.0506136428331,-0.0314977388446,False
31,1492637567.8,40.4438879328,-79.9508509126,6.42999982834,-0.0115356445312,-1.00331115723,0.126327514648,0.0236153146502,-0.0501425296362,0.0366224597302,False
32,1492637568.0,40.4438879328,-79.9508509126,6.42999982834,0.0433197021484,-0.968307495117,0.187408447266,-0.03271293925,-0.0731812699104,0.0158471400665,True
33,1492637568.2,40.4439041985,-79.9507893269,6.80999994278,0.0447540283203,-0.954650878906,0.235656738281,0.064582988015,-0.00681103448788,-0.0536981160076,True
