interval, latitude, longitude, classification
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
2,40.4824151611333,-79.9520296231657,1.0
5,40.4824151611333,-79.9520296231657,0.0
5,40.4824151611333,-79.9520296231657,0.0
5,40.4824151611333,-79.9520296231657,0.0
5,40.4824136523907,-79.9520176370442,0.0
5,40.4824136523907,-79.9520176370442,0.0
5,40.4824136523907,-79.9520176370442,0.0
5,40.4824136523907,-79.9520176370442,0.0
5,40.4824136523907,-79.9520176370442,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
12,40.4824127722909,-79.9520188105106,0.0
