interval, latitude, longitude, classification
0,40.4824151611333,-79.9520296231657,1.0
1,40.4824151611333,-79.9520296231657,0.0
2,40.4824136523907,-79.9520176370442,0.0
3,40.4824127722909,-79.9520188105106,0.0
4,40.4824127722909,-79.9520188105106,0.0
5,40.4824127722909,-79.9520188105106,0.0
6,40.4824127722909,-79.9520188105106,0.0
7,40.4824127722909,-79.9520188105106,0.0
8,40.4824127722909,-79.9520188105106,0.0
9,40.4824127722909,-79.9520188105106,0.0
10,40.4824127722909,-79.9520188105106,0.0
11,40.4824188491707,-79.9520147871971,0.0
12,40.4824299132828,-79.9519971013814,0.0
13,40.482480539978,-79.9519408588111,0.0
14,40.482542775609,-79.9517799262702,0.0
15,40.4826360242818,-79.9516141322255,0.0
16,40.4827099526678,-79.9514836259931,0.0
17,40.4827453662087,-79.9514408782869,0.0
18,40.4827385768671,-79.9514255394041,0.0
19,40.4827512754504,-79.9513966218382,0.0
20,40.4827974597369,-79.9513133895397,0.0
21,40.4828562587877,-79.9511864037066,0.0
22,40.482950932384,-79.9510280695557,0.0
23,40.4830521438648,-79.9508372136205,0.0
24,40.4831646290053,-79.9506311026215,0.0
25,40.4832875496154,-79.9504310265928,0.0
26,40.4834096739446,-79.9502040446549,0.0
27,40.4835373303299,-79.9499778170883,0.0
28,40.4836444510524,-79.9497480691224,0.0
29,40.4837397532915,-79.9495220091938,0.0
30,40.4838483827566,-79.9492807780206,0.0
31,40.483963131011,-79.9490299076586,0.0
32,40.4840766219799,-79.9487832282483,0.0
33,40.4841924179722,-79.9485269096493,0.0
34,40.4843097227071,-79.9482575152814,0.0
35,40.4844186874484,-79.9480013643205,0.0
36,40.4845342738931,-79.9477322214096,0.0
37,40.4846594995265,-79.9474630784988,0.0
38,40.4847803246607,-79.94718337439,0.0
39,40.4849029519041,-79.9469119683653,0.0
40,40.4850169876967,-79.9466531351953,0.0
41,40.485103447028,-79.9464653805643,0.0
42,40.4851511819665,-79.9463383947312,0.0
43,40.4851699993391,-79.9462789670377,0.0
44,40.4851446021725,-79.9462307710945,0.0
45,40.485077127852,-79.9461567588895,0.0
46,40.4849664867301,-79.9460297730565,0.0
47,40.4848230723669,-79.9458711036294,0.0
48,40.4846592061599,-79.9456874561309,0.0
49,40.4844902269919,-79.9455039762705,0.0
50,40.4843232175712,-79.9453251064568,0.0
51,40.4841764923562,-79.9451655150204,0.0
52,40.484050302804,-79.9450215139239,0.0
53,40.4839316150551,-79.944881703779,0.0
54,40.4838102870066,-79.944746922776,0.0
55,40.4837054713075,-79.944633264169,0.0
56,40.4836311657359,-79.9445497804135,0.0
57,40.4835771862794,-79.9444134068489,0.0
58,40.4835898848628,-79.9442190305143,0.0
59,40.4835794913028,-79.9440290965884,0.0
60,40.4835067363833,-79.9438464549183,0.0
61,40.4834090033923,-79.9436327163875,0.0
62,40.4832973983516,-79.9433763977885,0.0
63,40.4831881402437,-79.9431149662285,0.0
64,40.4830964841326,-79.9428882357478,0.0
65,40.4830057254246,-79.942634459121,0.0
66,40.4830087629247,-79.9423303329107,0.0
67,40.4830147163109,-79.9419950443891,0.0
68,40.4830218385362,-79.9416496443463,0.0
69,40.4830299017473,-79.9413111430514,0.0
70,40.483037268237,-79.941001890786,0.0
71,40.4830438146833,-79.9407270647217,0.0
72,40.4830490894229,-79.9405056261211,0.0
73,40.4830532132902,-79.9403518441003,0.0
74,40.4830558157339,-79.9402551846919,0.0
75,40.4829184319273,-79.9401419562107,0.0
76,40.4827711683359,-79.9400171937229,0.0
77,40.4826502704081,-79.9397897650507,0.0
78,40.482573973697,-79.9394767709768,0.0
79,40.4825008495065,-79.9391767916207,0.0
80,40.4824394163909,-79.9389247728792,0.0
81,40.4821160695747,-79.9386942988216,0.0
82,40.481809675934,-79.9389196025689,0.0
83,40.4818106858191,-79.9389189663683,0.0
84,40.482009456482,-79.9387759210318,0.0
85,40.4818106636434,-79.9389189803383,0.0
86,40.481810641525,-79.9389189942724,0.0
87,40.4818773379809,-79.9388710469957,0.0
88,40.4818104661022,-79.938919104784,0.0
89,40.4818104445396,-79.9389191183679,0.0
90,40.4818104230397,-79.9389191319123,0.0
91,40.4818104015959,-79.9389191454213,0.0
92,40.4817859412872,-79.938934554762,0.0
93,40.4817614904572,-79.9389499581313,0.0
94,40.4817491643485,-79.9389577232504,0.0
95,40.4817090618247,-79.9389829867685,0.0
96,40.4816168285835,-79.9388186547114,0.0
97,40.481561989724,-79.9385935987377,0.0
98,40.4814908872885,-79.938301797851,0.0
99,40.4812600570723,-79.9373671326128,0.0
100,40.4811869876226,-79.9370774427994,0.0
101,40.4814145826526,-79.9379886473905,0.0
102,40.4813380241562,-79.9376781345478,0.0
103,40.4811144606954,-79.9367920388609,0.0
104,40.4810553723795,-79.9365610287716,0.0
105,40.4810130300946,-79.9363988307197,0.0
106,40.4809695432812,-79.9362323575286,0.0
107,40.4808822800928,-79.9358950951488,0.0
108,40.4808027885333,-79.9355873854512,1.0
109,40.480723439659,-79.9352807018066,0.0
110,40.4806408526835,-79.9349615028914,1.0
111,40.4805582251333,-79.9346640867153,0.0
112,40.4804612156325,-79.9343739926316,0.0
113,40.4803228919702,-79.9340806223505,0.0
114,40.4801760539889,-79.9337937209784,0.0
115,40.4800342478407,-79.9335200443474,0.0
116,40.4798891082458,-79.93326978683,0.0
117,40.4797228756641,-79.9330961304021,0.0
118,40.4794803116244,-79.9330207011984,0.0
119,40.4792394277482,-79.9329710288697,0.0
120,40.47895407373,-79.9329121864149,0.0
121,40.4786810410965,-79.9328558847356,0.0
122,40.47838370924,-79.9327945723475,0.0
123,40.4781005262978,-79.9327361775872,0.0
124,40.4778454405777,-79.932683576716,0.0
125,40.4776057995075,-79.932634581537,0.0
126,40.4773626091083,-79.9325857784022,0.0
127,40.477103530515,-79.9325312148901,0.0
128,40.4768492544355,-79.9324700916286,0.0
129,40.4766122949851,-79.9323988600303,0.0
130,40.4763646913556,-79.9323199548899,0.0
131,40.4761109274191,-79.9322349737444,0.0
132,40.4756215983042,-79.9320681176159,0.0
133,40.475852667403,-79.9321470103132,0.0
134,40.4754642247976,-79.9320183216234,0.0
135,40.4753326958392,-79.931976703341,0.0
136,40.4751518192459,-79.93191651675,0.0
137,40.4749055240188,-79.9318312957591,0.0
138,40.4746133154085,-79.9317301882077,0.0
139,40.4743077526578,-79.9316244599696,0.0
140,40.4740170194176,-79.931520575093,0.0
141,40.473766024847,-79.9314236403489,0.0
142,40.4735741911063,-79.9313467323392,0.0
143,40.4734377061265,-79.9311684046146,0.0
144,40.4733639727819,-79.9310018444674,0.0
145,40.4733339280509,-79.930928028512,0.0
146,40.4733253961457,-79.9309070667423,0.0
147,40.4733230365299,-79.9309012694764,0.0
148,40.4733234118714,-79.9309021916412,0.0
149,40.4733230467268,-79.9309012945288,0.0
150,40.473322947689,-79.9309010512061,0.0
151,40.4733230041293,-79.9309011898725,0.0
152,40.4733232783693,-79.9309018636441,0.0
153,40.4733233869581,-79.9309021304323,0.0
154,40.4733181902805,-79.9308893628786,0.0
155,40.4733141820557,-79.9308795151972,0.0
156,40.47331320503,-79.9308771147732,0.0
157,40.4732952111558,-79.9308329061892,0.0
158,40.4732601463371,-79.9307467565384,0.0
159,40.473159303861,-79.9304873167045,0.0
160,40.4730597912863,-79.9302312628678,0.0
161,40.4729457572692,-79.9299403300462,0.0
162,40.4728254864467,-79.9296316908632,0.0
163,40.4727028539116,-79.929316186353,0.0
164,40.4725731291085,-79.9289824351142,0.0
165,40.4724492730185,-79.9286637826866,0.0
166,40.4723384027852,-79.928378539797,0.0
167,40.4722070697173,-79.9280388881161,0.0
168,40.4720898731115,-79.9277357867439,0.0
169,40.4719760986375,-79.9274418198775,0.0
170,40.4718658488576,-79.9271573330446,0.0
171,40.4717702279244,-79.9268866796791,0.0
172,40.4716811282937,-79.9266508129238,0.0
173,40.4716069484506,-79.9264565204083,0.0
174,40.4715455510099,-79.9263483938574,0.0
175,40.4714646237348,-79.9263362400978,0.0
176,40.4713385599111,-79.9263937399536,0.0
177,40.4711477877949,-79.9264776428043,0.0
178,40.4709119210397,-79.9265812431275,0.0
179,40.4706733211212,-79.9266911126109,0.0
180,40.4704041286865,-79.9268097301494,0.0
181,40.4701500017336,-79.926921717614,0.0
182,40.4699024721944,-79.9270307977615,0.0
183,40.4696688847993,-79.9271257315575,0.0
184,40.4694552534952,-79.927235547972,0.0
185,40.4692729568706,-79.9273201932325,0.0
186,40.4691581301031,-79.9273735104109,0.0
187,40.4691203822132,-79.9273910377786,0.0
188,40.4691066564517,-79.9273974110215,0.0
189,40.4690559350685,-79.9274209623335,0.0
